AB	0.6149
BC	1.14686
CD	1.99914
DE	2.31088
EF	2.60832
FG	2.80852
GH	2.80852
GV	0.51168
VI	0.51168
BP	1.492
CQ	1.308
DR	1.116
ES	1.116
FT	0.744
GU	0.62
NO	0.6149
MN	1.14686
LM	1.99914
KL	2.31088
JK	2.60832
IJ	2.80852
HI	2.80852
NAB	1.492
MAA	1.308
LZ	1.116
KY	1.116
JX	0.744
IW	0.62
PQ	0.4433
QR	1.3156
RS	1.75604
ST	2.31088
TU	2.60832
UV	2.60832
AP	1.37268
BQ	1.60884
CR	1.37268
DS	1.0578
ET	0.51168
FU	0.38868
ABO	1.37268
AAN	1.60884
ZM	1.37268
YL	1.0578
XK	0.51168
WJ	0.38868
AAAB	0.4433
ZAA	1.3156
YZ	1.75604
XY	2.31088
WX	2.60832
VW	2.60832
HV	0.3318
